,,P38,P39,P40,P41,P42,P43,P44,P45,P46,Baro,T1,T2,T3
6/21/2018,1:16:40 AM,29.408,28.796,26.308,28.209,25.888,28.45,24.501,27.043,26.775,28.618,29.984,30.086,29.68
6/21/2018,1:33:20 AM,29.426,28.758,26.179,28.124,25.75,28.409,24.333,26.948,26.708,28.62,30.01,30.091,29.697
6/21/2018,1:50:00 AM,29.43,28.73,26.043,28.041,25.587,28.391,24.12,26.868,26.674,28.622,30.078,30.168,29.793
6/21/2018,2:06:40 AM,29.384,28.696,25.932,27.981,25.46,28.325,23.934,26.736,26.602,28.648,30.212,30.28,29.947
6/21/2018,2:23:20 AM,29.413,28.647,25.787,27.894,25.293,28.255,23.766,26.657,26.551,28.653,30.319,30.388,30.038
6/21/2018,2:40:00 AM,29.429,28.632,25.669,27.796,25.144,28.208,23.561,26.521,26.477,28.652,30.349,30.42,29.985
6/21/2018,2:56:40 AM,29.382,28.542,25.567,27.73,25.012,28.125,23.368,26.429,26.419,28.654,30.307,30.365,30.057
6/21/2018,3:13:20 AM,29.356,28.528,25.401,27.648,24.833,28.111,23.177,26.343,26.363,28.653,30.359,30.401,30.216
6/21/2018,3:30:00 AM,29.358,28.461,25.279,27.539,24.702,28.044,23.004,26.191,26.286,28.654,30.262,30.335,30.135
6/21/2018,3:46:40 AM,29.284,28.425,25.115,27.456,24.551,27.948,22.803,26.103,26.215,28.655,30.224,30.293,29.986
6/21/2018,4:03:20 AM,29.331,28.407,25.027,27.383,24.386,27.912,22.604,25.976,26.165,28.66,30.247,30.291,29.839
6/21/2018,4:20:00 AM,29.294,28.341,24.879,27.325,24.264,27.837,22.458,25.871,26.074,28.663,30.231,30.309,29.949
6/21/2018,4:36:40 AM,29.263,28.277,24.741,27.248,24.107,27.791,22.259,25.793,26.043,28.66,30.178,30.247,29.896
6/21/2018,4:53:20 AM,29.267,28.244,24.62,27.157,23.981,27.756,22.122,25.661,25.999,28.652,30.208,30.244,29.989
6/21/2018,5:10:00 AM,29.237,28.204,24.512,27.07,23.827,27.665,21.916,25.534,25.919,28.651,30.232,30.267,30.002
6/21/2018,5:26:40 AM,29.204,28.145,24.348,26.966,23.682,27.609,21.748,25.455,25.864,28.651,30.145,30.228,29.859
6/21/2018,5:43:20 AM,29.241,28.099,24.239,26.91,23.556,27.56,21.569,25.37,25.807,28.656,30.107,30.169,29.829
6/21/2018,6:00:00 AM,29.228,28.062,24.137,26.845,23.421,27.539,21.389,25.225,25.745,28.633,30.005,30.089,29.733
6/21/2018,6:16:40 AM,29.193,28.022,24.01,26.755,23.294,27.438,21.241,25.143,25.717,28.634,29.959,30.065,29.747
6/21/2018,6:33:20 AM,29.18,27.947,23.897,26.684,23.162,27.42,21.109,25.044,25.631,28.634,29.942,30.038,29.695
6/21/2018,6:50:00 AM,29.188,27.935,23.751,26.592,23.001,27.324,20.921,24.944,25.591,28.64,30.033,30.123,29.784
6/21/2018,7:06:40 AM,29.117,27.878,23.623,26.513,22.86,27.286,20.764,24.834,25.524,28.64,30.002,30.089,29.722
6/21/2018,7:23:20 AM,29.119,27.844,23.518,26.411,22.721,27.215,20.559,24.72,25.468,28.639,29.881,29.967,29.596
6/21/2018,7:40:00 AM,29.089,27.781,23.392,26.361,22.599,27.148,20.432,24.626,25.423,28.636,29.824,29.903,29.437
6/21/2018,7:56:40 AM,29.113,27.729,23.301,26.292,22.453,27.095,20.257,24.528,25.349,28.641,29.747,29.864,29.476
6/21/2018,8:13:20 AM,29.065,27.673,23.165,26.196,22.331,27.027,20.086,24.407,25.285,28.641,29.823,29.892,29.439
6/21/2018,8:30:00 AM,29.049,27.642,23.055,26.123,22.217,26.95,19.959,24.313,25.257,28.643,29.812,29.906,29.477
6/21/2018,8:46:40 AM,29.031,27.601,22.946,26.04,22.069,26.929,19.769,24.217,25.169,28.639,29.74,29.794,29.362
6/21/2018,9:03:20 AM,29.035,27.578,22.85,25.958,21.944,26.891,19.637,24.115,25.148,28.637,30.151,30.269,29.677
6/21/2018,9:20:00 AM,29.069,27.547,22.742,25.926,21.846,26.843,19.52,24.021,25.121,28.64,30.825,30.951,30.481
6/21/2018,9:36:40 AM,29.061,27.517,22.666,25.849,21.745,26.822,19.406,23.967,25.088,28.64,31.276,31.339,30.935
6/21/2018,9:53:20 AM,29.057,27.529,22.573,25.824,21.616,26.788,19.264,23.902,25.053,28.647,31.327,31.385,31.024
6/21/2018,10:10:00 AM,29.084,27.473,22.478,25.776,21.529,26.756,19.141,23.806,25.009,28.657,31.258,31.307,30.974
6/21/2018,10:26:40 AM,29.111,27.454,22.386,25.683,21.419,26.708,19.014,23.732,24.983,28.662,31.192,31.222,30.921
6/21/2018,10:43:20 AM,29.148,27.413,22.284,25.632,21.301,26.643,18.847,23.662,24.923,28.675,31.365,31.402,31.074
6/21/2018,11:00:00 AM,29.1,27.383,22.169,25.574,21.204,26.623,18.731,23.55,24.887,28.679,31.55,31.583,31.301
6/21/2018,11:16:40 AM,29.114,27.345,22.084,25.495,21.085,26.574,18.578,23.458,24.829,28.685,31.545,31.575,31.289
6/21/2018,11:33:20 AM,29.064,27.293,21.997,25.441,20.951,26.515,18.472,23.394,24.785,28.682,31.977,32.028,31.766
6/21/2018,11:50:00 AM,29.069,27.27,21.899,25.368,20.85,26.481,18.36,23.315,24.762,28.683,32.297,32.356,32.062
6/21/2018,12:06:40 PM,29.063,27.211,21.798,25.313,20.753,26.435,18.22,23.232,24.697,28.68,32.392,32.428,32.18
6/21/2018,12:23:20 PM,29.072,27.194,21.709,25.231,20.651,26.411,18.102,23.159,24.656,28.677,32.41,32.429,32.196
6/21/2018,12:40:00 PM,29.056,27.162,21.635,25.211,20.545,26.379,17.966,23.056,24.639,28.698,32.533,32.548,32.334
6/21/2018,12:56:40 PM,29.073,27.125,21.522,25.127,20.428,26.331,17.862,22.978,24.596,28.694,32.707,32.718,32.594
6/21/2018,1:13:20 PM,28.994,27.038,21.373,25.031,20.295,26.248,17.684,22.883,24.501,28.69,32.009,31.975,31.963
6/21/2018,1:30:00 PM,28.938,26.986,21.252,24.933,20.183,26.174,17.533,22.768,24.421,28.68,30.946,31.021,30.84
6/21/2018,1:46:40 PM,28.961,26.912,21.163,24.839,20.028,26.102,17.419,22.665,24.38,28.685,30.906,30.822,30.395
6/21/2018,2:03:20 PM,28.906,26.887,21.042,24.807,19.945,26.09,17.283,22.574,24.327,28.682,30.596,30.695,30.337
6/21/2018,2:20:00 PM,28.889,26.829,20.949,24.697,19.811,26.006,17.169,22.479,24.272,28.668,30.428,30.494,30.29
6/21/2018,2:36:40 PM,28.813,26.75,20.81,24.625,19.687,25.918,17.016,22.377,24.202,28.67,30.13,30.218,29.938
6/21/2018,2:53:20 PM,28.805,26.734,20.725,24.529,19.584,25.846,16.894,22.278,24.141,28.661,30.124,30.228,29.738
6/21/2018,3:10:00 PM,28.838,26.697,20.639,24.512,19.482,25.847,16.763,22.209,24.129,28.676,30.334,30.449,30.019
6/21/2018,3:26:40 PM,28.781,26.685,20.574,24.432,19.367,25.781,16.635,22.112,24.075,28.676,30.222,30.315,29.985
6/21/2018,3:43:20 PM,28.792,26.619,20.487,24.367,19.27,25.741,16.523,22.02,24.022,28.663,30.083,30.195,29.822
6/21/2018,4:00:00 PM,28.815,26.611,20.394,24.315,19.212,25.733,16.432,21.981,24.014,28.676,30.28,30.405,30.061
6/21/2018,4:16:40 PM,28.843,26.578,20.312,24.261,19.116,25.668,16.307,21.923,23.979,28.666,30.433,30.563,30.269
6/21/2018,4:33:20 PM,28.781,26.535,20.196,24.183,18.977,25.618,16.173,21.789,23.923,28.663,30.235,30.368,30.033
6/21/2018,4:50:00 PM,28.73,26.477,20.122,24.115,18.863,25.54,16.075,21.707,23.869,28.662,30.093,30.227,29.967
6/21/2018,5:06:40 PM,28.722,26.431,20.012,24.031,18.768,25.497,15.943,21.631,23.803,28.653,29.936,30.026,29.646
6/21/2018,5:23:20 PM,28.692,26.387,19.936,23.97,18.667,25.471,15.85,21.523,23.746,28.646,29.98,30.108,29.612
6/21/2018,5:40:00 PM,28.701,26.329,19.819,23.922,18.588,25.402,15.734,21.483,23.7,28.643,29.943,30.025,29.641
6/21/2018,5:56:40 PM,28.669,26.321,19.729,23.858,18.46,25.33,15.6,21.412,23.665,28.645,29.827,29.972,29.675
6/21/2018,6:13:20 PM,28.651,26.297,19.657,23.776,18.363,25.316,15.511,21.314,23.607,28.634,29.742,29.914,29.51
6/21/2018,6:30:00 PM,28.664,26.238,19.573,23.728,18.294,25.274,15.405,21.22,23.568,28.63,30.143,30.291,29.974
6/21/2018,6:46:40 PM,28.67,26.218,19.494,23.672,18.199,25.229,15.312,21.146,23.54,28.623,29.886,30.055,29.799
6/21/2018,7:03:20 PM,28.617,26.153,19.414,23.602,18.091,25.185,15.2,21.073,23.468,28.625,29.909,30.077,29.719
6/21/2018,7:20:00 PM,28.608,26.118,19.292,23.547,18,25.123,15.118,21.003,23.462,28.621,29.995,30.135,29.845
6/21/2018,7:36:40 PM,28.619,26.113,19.245,23.491,17.927,25.086,14.996,20.926,23.408,28.618,30.013,30.107,29.742
6/21/2018,7:53:20 PM,28.612,26.065,19.183,23.434,17.85,25.047,14.898,20.848,23.352,28.615,29.933,30.117,29.716
6/21/2018,8:10:00 PM,28.605,26.029,19.107,23.377,17.758,24.998,14.78,20.77,23.298,28.613,30.08,30.221,29.908
6/21/2018,8:26:40 PM,28.581,26.003,18.998,23.319,17.665,24.949,14.684,20.695,23.286,28.625,30.158,30.257,30.09
6/21/2018,8:43:20 PM,28.565,25.953,18.931,23.249,17.581,24.914,14.576,20.612,23.212,28.619,30.058,30.207,29.909
6/21/2018,9:00:00 PM,28.564,25.936,18.851,23.189,17.493,24.874,14.487,20.55,23.177,28.601,30.071,30.247,29.933
6/21/2018,9:16:40 PM,28.527,25.873,18.766,23.122,17.402,24.816,14.387,20.473,23.136,28.599,30.17,30.322,30.017
6/21/2018,9:33:20 PM,28.51,25.862,18.691,23.049,17.321,24.749,14.286,20.375,23.084,28.597,30.031,30.15,29.875
6/21/2018,9:50:00 PM,28.51,25.815,18.591,23.005,17.2,24.72,14.163,20.293,23.01,28.594,30.004,30.085,29.724
6/21/2018,10:06:40 PM,28.493,25.751,18.51,22.901,17.119,24.645,14.093,20.229,22.978,28.595,29.983,30.073,29.793
6/21/2018,10:23:20 PM,28.459,25.72,18.439,22.857,17.019,24.611,13.983,20.141,22.931,28.597,29.94,30.058,29.796
6/21/2018,10:40:00 PM,28.432,25.678,18.346,22.818,16.943,24.553,13.858,20.057,22.874,28.603,29.897,30.017,29.757
6/21/2018,10:56:40 PM,28.416,25.639,18.278,22.734,16.845,24.501,13.767,19.955,22.821,28.604,29.864,29.973,29.672
6/21/2018,11:13:20 PM,28.394,25.584,18.178,22.664,16.756,24.464,13.695,19.901,22.75,28.604,29.89,29.957,29.765
6/21/2018,11:30:00 PM,28.388,25.555,18.124,22.607,16.663,24.419,13.566,19.815,22.709,28.604,29.902,30.024,29.733
6/21/2018,11:46:40 PM,28.383,25.522,18.001,22.535,16.579,24.39,13.494,19.717,22.663,28.602,29.706,29.801,29.51
6/22/2018,12:03:20 AM,28.347,25.474,17.922,22.453,16.474,24.33,13.361,19.645,22.626,28.594,29.762,29.835,29.567
6/22/2018,12:20:00 AM,28.329,25.434,17.849,22.416,16.388,24.276,13.284,19.582,22.541,28.595,29.721,29.834,29.615
6/22/2018,12:36:40 AM,28.308,25.406,17.755,22.328,16.31,24.225,13.171,19.476,22.518,28.595,29.576,29.689,29.384
6/22/2018,12:53:20 AM,28.294,25.347,17.691,22.27,16.21,24.177,13.089,19.402,22.434,28.597,29.519,29.61,29.351
6/22/2018,1:10:00 AM,28.26,25.316,17.604,22.224,16.124,24.106,12.998,19.337,22.386,28.598,29.648,29.736,29.406
6/22/2018,1:26:40 AM,28.311,25.304,17.567,22.191,16.069,24.085,12.901,19.273,22.383,28.602,29.608,29.712,29.222
6/22/2018,1:43:20 AM,28.317,25.273,17.514,22.138,15.993,24.06,12.852,19.195,22.356,28.614,29.876,29.975,29.545
6/22/2018,2:00:00 AM,28.318,25.265,17.437,22.118,15.928,24.061,12.768,19.156,22.316,28.618,29.942,30.028,29.672
6/22/2018,2:16:40 AM,28.348,25.222,17.39,22.046,15.833,24.024,12.692,19.103,22.308,28.623,30.089,30.144,29.788
6/22/2018,2:33:20 AM,28.328,25.187,17.321,21.998,15.763,23.987,12.609,19.028,22.268,28.625,30.19,30.251,29.919
6/22/2018,2:50:00 AM,28.277,25.157,17.219,21.903,15.684,23.953,12.523,18.952,22.219,28.637,30.336,30.403,30.226
6/22/2018,3:06:40 AM,28.28,25.108,17.159,21.856,15.596,23.88,12.429,18.88,22.165,28.623,30.049,30.118,29.836
6/22/2018,3:23:20 AM,28.287,25.082,17.095,21.782,15.54,23.846,12.36,18.818,22.137,28.623,30.054,30.112,29.782
6/22/2018,3:40:00 AM,28.271,25.059,17.018,21.769,15.444,23.786,12.279,18.766,22.11,28.631,30.087,30.133,29.872
6/22/2018,3:56:40 AM,28.248,24.995,16.944,21.681,15.359,23.762,12.192,18.661,22.05,28.616,30.144,30.175,29.897
6/22/2018,4:13:20 AM,28.23,24.972,16.872,21.606,15.257,23.72,12.119,18.574,21.991,28.615,29.925,30.004,29.725
6/22/2018,4:30:00 AM,28.265,24.944,16.814,21.569,15.22,23.679,12.043,18.541,21.975,28.61,29.965,29.992,29.577
6/22/2018,4:46:40 AM,28.237,24.887,16.744,21.533,15.143,23.633,11.975,18.461,21.928,28.604,30.041,30.089,29.849
6/22/2018,5:03:20 AM,28.201,24.867,16.655,21.457,15.049,23.581,11.885,18.385,21.873,28.605,30.044,30.142,29.759
6/22/2018,5:20:00 AM,28.193,24.847,16.581,21.436,14.952,23.53,11.81,18.323,21.8,28.602,29.856,29.936,29.582
6/22/2018,5:36:40 AM,28.199,24.817,16.516,21.353,14.908,23.516,11.739,18.256,21.796,28.599,29.81,29.893,29.59
6/22/2018,5:53:20 AM,28.163,24.747,16.461,21.283,14.815,23.475,11.637,18.218,21.778,28.599,29.999,30.024,29.819
6/22/2018,6:10:00 AM,28.172,24.733,16.376,21.235,14.748,23.438,11.575,18.107,21.717,28.592,29.757,29.814,29.466
6/22/2018,6:26:40 AM,28.172,24.693,16.323,21.192,14.673,23.372,11.48,18.041,21.654,28.592,29.826,29.841,29.503
6/22/2018,6:43:20 AM,28.167,24.655,16.248,21.127,14.609,23.34,11.448,17.974,21.629,28.594,29.884,29.962,29.64
6/22/2018,7:00:00 AM,28.185,24.653,16.194,21.066,14.534,23.309,11.368,17.917,21.603,28.599,30.343,30.419,29.97
6/22/2018,7:16:40 AM,28.194,24.639,16.153,21.072,14.47,23.305,11.305,17.918,21.574,28.589,30.887,30.961,30.543
6/22/2018,7:33:20 AM,28.236,24.626,16.09,21.017,14.439,23.286,11.255,17.842,21.583,28.602,31.184,31.239,30.92
6/22/2018,7:50:00 AM,28.249,24.601,16.084,21.004,14.372,23.289,11.196,17.802,21.556,28.595,31.891,31.917,31.634
6/22/2018,8:06:40 AM,28.274,24.617,16.031,20.959,14.315,23.26,11.146,17.751,21.513,28.601,32.267,32.293,32.047
6/22/2018,8:23:20 AM,28.277,24.596,15.968,20.929,14.258,23.233,11.116,17.715,21.479,28.598,32.286,32.291,32.073
6/22/2018,8:40:00 AM,28.284,24.532,15.894,20.899,14.187,23.184,11.035,17.657,21.462,28.596,32.426,32.427,32.237
6/22/2018,8:56:40 AM,28.254,24.518,15.852,20.85,14.115,23.155,10.971,17.601,21.434,28.598,32.462,32.457,32.239
6/22/2018,9:13:20 AM,28.262,24.52,15.833,20.787,14.074,23.149,10.916,17.529,21.401,28.61,32.512,32.517,32.322
6/22/2018,9:30:00 AM,28.257,24.465,15.735,20.714,14.011,23.119,10.841,17.471,21.371,28.616,32.618,32.602,32.416
6/22/2018,9:46:40 AM,28.24,24.423,15.677,20.681,13.929,23.076,10.765,17.42,21.342,28.613,32.649,32.654,32.459
6/22/2018,10:03:20 AM,28.248,24.41,15.62,20.65,13.872,23.051,10.745,17.365,21.31,28.617,32.823,32.825,32.611
6/22/2018,10:20:00 AM,28.245,24.377,15.566,20.581,13.815,23.008,10.646,17.314,21.243,28.622,33.036,33.048,32.839
6/22/2018,10:36:40 AM,28.248,24.338,15.518,20.563,13.747,22.963,10.616,17.238,21.218,28.622,33.178,33.197,32.979
6/22/2018,10:53:20 AM,28.25,24.331,15.467,20.493,13.684,22.926,10.518,17.239,21.187,28.624,33.224,33.245,33.047
6/22/2018,11:10:00 AM,28.237,24.299,15.414,20.438,13.631,22.871,10.463,17.13,21.148,28.63,33.325,33.345,33.147
6/22/2018,11:26:40 AM,28.228,24.273,15.337,20.392,13.544,22.838,10.408,17.093,21.112,28.633,33.41,33.424,33.206
6/22/2018,11:43:20 AM,28.215,24.224,15.308,20.371,13.482,22.826,10.327,17.02,21.047,28.632,33.54,33.551,33.334
6/22/2018,12:00:00 PM,28.223,24.22,15.223,20.327,13.434,22.787,10.265,16.965,21.017,28.631,33.61,33.625,33.398
6/22/2018,12:16:40 PM,28.22,24.168,15.192,20.261,13.361,22.768,10.241,16.879,20.994,28.638,33.574,33.581,33.388
6/22/2018,12:33:20 PM,28.206,24.168,15.121,20.217,13.314,22.712,10.158,16.831,20.948,28.636,33.605,33.617,33.397
6/22/2018,12:50:00 PM,28.209,24.12,15.066,20.166,13.28,22.692,10.143,16.784,20.91,28.635,33.733,33.746,33.544
6/22/2018,1:06:40 PM,28.196,24.1,15.023,20.111,13.191,22.653,10.037,16.731,20.873,28.638,33.74,33.746,33.52
6/22/2018,1:23:20 PM,28.186,24.086,14.965,20.071,13.164,22.624,10.004,16.717,20.816,28.633,33.668,33.684,33.469
6/22/2018,1:40:00 PM,28.209,24.028,14.908,20.038,13.066,22.618,9.922,16.641,20.787,28.636,33.717,33.716,33.506
6/22/2018,1:56:40 PM,28.179,23.987,14.856,19.975,13.019,22.572,9.867,16.579,20.765,28.639,33.782,33.785,33.568
6/22/2018,2:13:20 PM,28.177,23.962,14.797,19.922,12.957,22.561,9.83,16.502,20.733,28.635,33.732,33.746,33.535
6/22/2018,2:30:00 PM,28.143,23.947,14.715,19.89,12.87,22.474,9.766,16.464,20.669,28.632,33.433,33.429,33.501
6/22/2018,2:46:40 PM,28.073,23.851,14.641,19.798,12.802,22.387,9.662,16.35,20.557,28.633,32.59,32.481,32.452
6/22/2018,3:03:20 PM,28.003,23.809,14.527,19.703,12.713,22.324,9.599,16.281,20.492,28.623,31.469,31.454,31.307
6/22/2018,3:20:00 PM,27.988,23.737,14.473,19.676,12.632,22.264,9.53,16.193,20.433,28.609,31.077,31.119,30.844
6/22/2018,3:36:40 PM,27.968,23.669,14.407,19.592,12.573,22.212,9.455,16.121,20.361,28.606,31.006,31.028,30.871
6/22/2018,3:53:20 PM,27.978,23.667,14.344,19.536,12.52,22.215,9.409,16.072,20.31,28.599,31.358,31.453,30.96
6/22/2018,4:10:00 PM,27.962,23.662,14.309,19.521,12.452,22.146,9.366,16.076,20.285,28.608,31.829,31.933,31.505
6/22/2018,4:26:40 PM,27.986,23.647,14.255,19.462,12.389,22.143,9.288,15.991,20.244,28.609,32.158,32.234,31.817
6/22/2018,4:43:20 PM,28.03,23.627,14.233,19.44,12.351,22.122,9.283,15.972,20.229,28.605,32.574,32.609,32.309
6/22/2018,5:00:00 PM,28.05,23.644,14.191,19.441,12.339,22.127,9.223,15.927,20.199,28.611,33.255,33.274,33.012
6/22/2018,5:16:40 PM,28.052,23.61,14.157,19.385,12.278,22.072,9.168,15.875,20.165,28.602,33.082,33.128,33.054
6/22/2018,5:33:20 PM,27.979,23.538,14.075,19.303,12.185,22.024,9.092,15.799,20.106,28.601,32.277,32.194,32.186
6/22/2018,5:50:00 PM,27.968,23.476,14.029,19.234,12.104,21.968,9.031,15.717,20.025,28.598,31.369,31.381,31.172
6/22/2018,6:06:40 PM,27.907,23.427,13.928,19.181,12.038,21.923,8.988,15.667,19.958,28.583,31.344,31.344,31.08
6/22/2018,6:23:20 PM,27.914,23.399,13.897,19.124,11.992,21.851,8.931,15.608,19.92,28.583,30.888,30.964,30.721
6/22/2018,6:40:00 PM,27.92,23.383,13.863,19.104,11.945,21.831,8.862,15.544,19.882,28.581,31.277,31.353,31.083
6/22/2018,6:56:40 PM,27.904,23.387,13.805,19.087,11.886,21.849,8.848,15.557,19.847,28.579,31.522,31.575,31.293
6/22/2018,7:13:20 PM,27.924,23.354,13.766,19.065,11.846,21.817,8.792,15.477,19.823,28.59,31.441,31.51,31.353
6/22/2018,7:30:00 PM,27.902,23.33,13.724,19.018,11.807,21.767,8.758,15.43,19.774,28.594,32.017,32.042,31.988
6/22/2018,7:46:40 PM,27.861,23.288,13.648,18.926,11.713,21.714,8.667,15.351,19.696,28.589,31.233,31.286,31.122
6/22/2018,8:03:20 PM,27.836,23.238,13.595,18.893,11.658,21.673,8.617,15.306,19.646,28.575,30.872,30.931,30.618
6/22/2018,8:20:00 PM,27.824,23.165,13.505,18.822,11.617,21.598,8.559,15.252,19.587,28.58,30.926,30.999,30.637
6/22/2018,8:36:40 PM,27.804,23.153,13.462,18.748,11.547,21.548,8.493,15.158,19.531,28.589,30.553,30.635,30.241
6/22/2018,8:53:20 PM,27.784,23.099,13.418,18.713,11.478,21.522,8.42,15.119,19.464,28.58,30.692,30.785,30.368
6/22/2018,9:10:00 PM,27.803,23.106,13.358,18.669,11.448,21.487,8.372,15.072,19.408,28.58,30.583,30.661,30.283
6/22/2018,9:26:40 PM,27.756,23.046,13.284,18.609,11.366,21.445,8.318,15.016,19.376,28.577,30.44,30.497,30.141
6/22/2018,9:43:20 PM,27.739,23.021,13.252,18.553,11.292,21.378,8.254,14.932,19.299,28.582,30.356,30.422,30.029
6/22/2018,10:00:00 PM,27.711,22.971,13.181,18.496,11.249,21.325,8.23,14.881,19.245,28.591,30.385,30.487,30.109
6/22/2018,10:16:40 PM,27.681,22.924,13.128,18.457,11.204,21.301,8.156,14.824,19.185,28.593,30.281,30.323,30.012
6/22/2018,10:33:20 PM,27.707,22.925,13.103,18.41,11.131,21.267,8.118,14.78,19.139,28.585,30.388,30.431,30.021
6/22/2018,10:50:00 PM,27.668,22.881,13.048,18.363,11.081,21.239,8.079,14.737,19.077,28.58,30.358,30.422,30.046
6/22/2018,11:06:40 PM,27.705,22.869,12.99,18.334,11.051,21.191,8.019,14.674,19.052,28.579,30.404,30.466,30.128
6/22/2018,11:23:20 PM,27.649,22.814,12.935,18.274,10.974,21.164,7.974,14.628,18.99,28.573,30.268,30.311,29.971
6/22/2018,11:40:00 PM,27.623,22.765,12.87,18.223,10.905,21.086,7.911,14.562,18.881,28.547,30,30.062,29.755
6/22/2018,11:56:40 PM,27.611,22.749,12.823,18.176,10.861,21.074,7.859,14.497,18.881,28.553,30.461,30.582,30.073
6/23/2018,12:13:20 AM,27.631,22.763,12.805,18.149,10.825,21.049,7.824,14.479,18.844,28.557,31.159,31.263,30.797
6/23/2018,12:30:00 AM,27.661,22.744,12.765,18.124,10.807,21.05,7.82,14.451,18.785,28.559,31.632,31.73,31.336
6/23/2018,12:46:40 AM,27.697,22.72,12.782,18.103,10.767,21.02,7.802,14.401,18.784,28.557,31.87,31.928,31.572
6/23/2018,1:03:20 AM,27.718,22.702,12.731,18.073,10.736,21.014,7.728,14.398,18.736,28.566,31.896,31.951,31.629
6/23/2018,1:20:00 AM,27.684,22.713,12.682,18.054,10.662,20.997,7.732,14.325,18.714,28.566,32.309,32.37,32.073
6/23/2018,1:36:40 AM,27.709,22.7,12.626,18.023,10.636,20.981,7.705,14.304,18.689,28.565,32.532,32.576,32.318
6/23/2018,1:53:20 AM,27.682,22.655,12.632,17.97,10.594,20.947,7.632,14.259,18.667,28.585,32.653,32.692,32.463
6/23/2018,2:10:00 AM,27.715,22.639,12.586,17.932,10.532,20.945,7.588,14.215,18.612,28.585,32.388,32.398,32.171
6/23/2018,2:26:40 AM,27.723,22.627,12.541,17.912,10.504,20.909,7.575,14.197,18.554,28.583,32.435,32.466,32.245
6/23/2018,2:43:20 AM,27.713,22.595,12.501,17.876,10.458,20.88,7.524,14.164,18.53,28.575,32.457,32.492,32.283
6/23/2018,3:00:00 AM,27.685,22.572,12.461,17.823,10.407,20.83,7.487,14.07,18.466,28.577,32.693,32.732,32.512
